ID,area,edge,E_A,mean_B1,mean_B2,mean_B3,mean_B4,mean_NDVI,sd_B1,sd_B2,sd_B3,sd_B4,sd_NDVI
2,2.281308824,0.413608086,0.181302979,429.7677165,706.023622,647.7283465,3176.366142,0.76182507,109.6286454,182.6811068,354.5972957,266.2430088,0.055633852
37,1.365194049,0.287717804,0.210752313,363.0394737,619.5460526,394.9473684,3688.013158,0.820255951,18.48782724,39.87029282,25.06145809,281.9908642,0.010124527
81,1.688527753,0.29362607,0.173894725,375.9148936,632.2765957,444.1489362,3367.930851,0.798655021,32.01676017,46.00288395,79.23065326,178.4082937,0.020814294
95,2.892056329,0.557473858,0.192760373,379.6335404,672.4130435,432.5621118,3857.322981,0.820056369,20.18595466,38.21500355,72.73099965,260.2275329,0.015534907
111,2.478900217,0.347734792,0.14027785,375.9746377,641.3043478,428.923913,3588.84058,0.808306531,21.3755019,41.43851677,50.04621145,359.3198777,0.026656214
211,2.182516967,0.383580132,0.175751272,338.5514403,560.2386831,358.9341564,3194.123457,0.806612948,20.82513848,45.52613255,27.91064154,369.0423182,0.019168899
272,3.260301522,1.121198353,0.343894068,474.4820937,719.8319559,737.7823691,1573.267218,0.519937693,67.86919971,92.22337687,207.5413412,414.1913478,0.101632612
295,1.499915385,0.275729947,0.183830334,388.1856287,652.502994,433.0179641,3624.311377,0.804781619,21.02884501,27.7264769,35.10869062,377.2885334,0.022134046
308,109.2697817,2.992047083,0.027382201,481.5093704,727.521782,835.7554661,855.9553674,0.277293001,20.4333054,42.77070622,45.40648897,93.68796877,0.047370906
400,2.110661212,0.299666011,0.141977314,373.5744681,551.6978723,438.9914894,2179.514894,0.673763637,16.35078173,60.56033048,47.81919218,780.133669,0.113158656
428,2.290294794,0.383606394,0.167492148,340.5607843,559.5568627,355.4901961,3171.619608,0.804310377,18.54307688,49.42595374,24.53694992,365.9901041,0.018918091
564,1.499919574,0.323602263,0.215746409,355.7784431,612.5868263,371.9760479,3736.784431,0.825934887,18.21901601,31.29345085,20.35792735,151.7038618,0.010432303
725,4.059658137,0.467612206,0.115185119,382.3318584,645.2721239,431.0575221,3349.568584,0.792037955,27.92523361,54.76406822,50.83516479,404.6032764,0.034124063
817,1.975928778,0.323758953,0.16385153,489.3318182,718.0545455,872.1590909,922.6727273,0.30359091,21.84866769,31.29396235,53.97527896,108.3090124,0.050698268
915,3.978803116,0.659321549,0.165708513,557.6862302,843.4334086,1028.379233,1312.835214,0.385997134,61.76816577,85.21217577,114.2094239,360.1233731,0.105059687
972,1.778337202,0.419581565,0.235940386,410.3535354,671.3434343,564.3989899,2989.494949,0.754595949,37.88141077,52.81413855,127.0076835,375.4304298,0.044091567
1069,1.850189827,0.269755456,0.145798799,515.8203883,750.723301,821.3980583,1617.402913,0.506998991,78.44582889,116.364424,211.1791213,341.9608133,0.081850851
1083,3.359105252,0.407713702,0.121375685,359.9171123,520.2513369,427.1951872,1172.962567,0.505736757,30.07882542,91.5639271,46.68377307,409.7442394,0.095509366
1303,3.017780943,0.4496885,0.14901297,832.7440476,1150.639881,1364.327381,2353.425595,0.477028799,99.11708722,165.5000151,184.1021292,246.1112971,0.033230896
1309,1.38314852,0.239897787,0.173443259,485.9090909,697.3896104,872.0779221,968.6948052,0.329061019,31.77255025,48.49800369,23.71633354,127.478222,0.031437322
1378,3.179473018,0.743251121,0.233765507,460.4265537,749.4067797,590.7768362,2888.60452,0.724929194,174.9460345,226.9304683,333.2364403,342.2199342,0.097502437
1534,1.796303865,0.671560105,0.373856627,444.895,626.925,694.605,1466.155,0.522097867,34.15651199,64.99145189,82.1503645,324.2112981,0.081026439
1572,1.975925871,0.719574998,0.364171049,601.25,921.2681818,1038.522727,1414.222727,0.395574365,89.53021097,141.8894865,158.0960185,311.2126091,0.068462512
1584,2.317242135,0.479547702,0.206947601,399.4883721,713.5852713,454.4651163,3574.271318,0.798343236,64.08750296,113.5952372,107.7178579,269.4172773,0.033301624
1682,2.910009182,0.509587953,0.175115582,524.0679012,821.7037037,838.1604938,2652.302469,0.668049947,76.62498655,112.0521434,204.9074521,251.6831535,0.056041401
1730,427.1267209,9.793062726,0.022927769,438.874611,610.6038145,794.1665405,847.6310665,0.316197985,31.32850935,44.11549072,64.27660285,87.20168235,0.036931653
1848,1.661581118,0.275716658,0.165936321,384.5945946,630.4,417.8108108,3494.275676,0.800312435,19.81690574,34.30904938,40.6232945,333.6719046,0.018886913
1869,3.026767915,0.425463703,0.140567006,391.0563798,657.1958457,447.7804154,3999.020772,0.820942951,27.89158053,52.00146158,77.87160813,321.0216803,0.018251462
